,collocate,raw_frequency,MI
2004,duty,1426,3.2523833356193452
2005,watching,1205,3.4207770906688313
2006,friend.,626,3.6701964573853236
2007,"Jillgall,",26,6.85145029046394
2008,"add,",82,5.009680400661224
2009,"reluctantly,",28,6.084195137750273
2010,recommends,12,6.931492998137476
2011,whether,3985,2.735544969135262
2012,Tenbruggen,64,5.257516564565805
2013,simply,1226,2.30488753142932
2014,female,528,3.1473033642192156
2015,"is,",2637,2.6376147502403
2016,"circumstances,",316,3.6606574343385647
2017,fit,1107,3.1001378957767853
2018,sort.,181,4.217902616659651
2019,honestly,168,4.292435668522218
2020,declared,878,2.63875305429036
2021,"top,",109,4.725051765696333
2022,accustomed,731,3.5151333687356434
2023,write,1743,2.646183782965401
2024,returned.,283,3.7709527502822393
2025,"night,",2044,2.8923479852699914
2026,days,3572,2.3341309945971966
2027,passed.,192,4.1589042758976955
2028,received,1861,2.9861426799513358
2029,drawing-room.,190,4.169375575764991
2030,feeble,356,3.5414689170734466
2031,creature.,146,4.432793026217141
2032,"me,",11549,1.8538049850384444
2033,paper,965,3.6428838352546005
2034,used,3533,1.9396441811262768
2035,consult,235,3.9568141337813176
2036,lawyer.,73,5.819087387337031
2037,"home,",1480,2.8097494617272614
2038,questioned,219,4.7204750986689215
2039,"event,""",3,8.317787359257368
2040,"concluded,",98,4.831432169254905
2041,evidence,450,3.3071520651611115
2042,"once,""",76,5.778813488199091
2043,"replied,",745,2.8030154295459173
2044,'she,209,4.074065395960666
2045,escape,735,2.81652914871264
2046,to-night's,11,7.018504375127106
2047,post.,85,4.97374839143516
2048,answerable,35,5.861051586436063
2049,consequences!,2,8.723252467365532
2050,"charge,",111,4.706869446613142
2051,insist,190,4.169375575764991
2052,yet.,524,3.1549079636044346
2053,"son.""",64,5.257516564565805
2054,arrived,889,2.6263024124115724
2055,flowers,922,2.589854424368883
2056,Philip.,128,4.564369384005859
2057,accepted,683,3.5830519689146323
2058,disappointment,273,3.806927852740517
2059,resignedly.,2,8.723252467365532
2060,"""Let",689,2.8811583769118183
2061,writer,204,4.09827965408126
2062,warning.,60,5.322055085703376
2063,strong,2646,1.5355953032505758
2064,"hint,",57,5.373348380090927
2065,failed,726,2.8288496331006807
2066,dismissed,218,4.031904585136388
2067,Maria.,69,5.182293143328217
2068,"""Whatever",66,5.226744905899051
2069,"is,""",278,3.7887785342348397
2070,"her,",9651,0.934730012578286
2071,headlong,87,4.950491529270893
2072,stairs.,260,3.855718016909949
2073,running,1222,2.308155508193936
2074,counsel,263,3.8442456157477123
2075,wisely.,15,6.7083494468232665
2076,anger,513,3.176123802754707
2077,legal,309,3.6830583710277316
2078,adviser,38,5.778813488199091
2079,"applied,",9,7.219175070589258
2080,farmer,364,3.519245780288736
2081,false,689,3.5743055574717637
2082,accusation,59,5.338862204019757
2083,attributed,94,4.873104865655473
2084,preservation,43,5.655199532231914
2085,hand.,1833,3.0013026887538814
2086,servant,819,2.7083155640724073
2087,purposely,76,5.778813488199091
2088,daughter,1615,2.0293094122687196
2089,"now.""",573,3.065513931210737
2090,truth,1748,1.950172091709996
2091,"told,",206,4.088523479135896
2092,Jillgall,125,4.5880859106231755
2093,"straight,",138,5.182293143328217
2094,grand,928,3.681980203807386
2095,hear.,163,4.322649447118715
2096,do.,1368,2.195294549742981
2097,My,4364,2.1338675896406247
2098,father's,2014,1.8085215746469692
2099,cousin.,143,4.453555017665569
2100,sometime.,5,7.8069617354913765
2101,wants,1055,3.55371589068342
2102,downright,126,4.580117740973999
2103,ill.,194,4.148541488862149
2104,big,1837,1.9005105627103511
2105,an',1963,2.527317634208961
2106,talked,1699,3.3648988873734353
2107,rough,760,2.7830812146451
2108,polite,309,3.6830583710277316
2109,think.,357,3.538663866145838
2110,because,7463,1.8849812519139801
2111,out?,68,5.19689194274937
2112,push,245,3.91514143738075
2113,carriage.,154,4.3794470455118475
2114,fresh,1458,2.1315787353568734
2115,"""There's",364,3.519245780288736
2116,wondered,891,2.6240552204546677
2117,somewhat,1667,1.9976187651746828
2118,startled.,57,5.373348380090927
2119,so.,1549,2.7641819880685534
2120,anywhere,291,3.743076380753984
2121,back.,952,3.2509817936940566
2122,Th',32,5.95066374512575
2123,calls,422,4.06454151444941
2124,"rheumatics.""",2,8.723252467365532
2125,Rajah,69,5.182293143328217
2126,guessin',1,9.416399647925477
2127,what's,585,3.04478780069362
2128,happened.,237,3.9483395067903455
2129,he'd,514,3.867323563030257
2130,"roof,",198,4.128132617230942
2131,invites,26,6.158303109903994
2132,daily.,27,6.813709962481093
2133,Words,27,6.120562781921148
2134,effect.,162,4.3288033126930925
2135,By,1449,2.1377707056047943
2136,orders,457,4.901154169465372
2137,daily,669,3.6037627683571936
2138,Mark—a,1,9.416399647925477
2139,holy,371,3.5001975853180416
2140,oils.,5,7.8069617354913765
2141,oxygen,4,8.030105286805586
2142,overhang,4,8.030105286805586
2143,roof,439,3.3319002348503055
2144,artist,321,3.644958524795461
2145,lived,1804,1.918637947302908
2146,Marie,199,4.123094823200985
2147,Léonie,77,5.072594226071793
2148,hadn’t.,3,8.317787359257368
2149,"parson,",187,5.283903319739
2150,enraged,55,5.409066462693006
2151,"Sylvia,",260,4.548865197469895
2152,faint,949,3.2541380298754943
2153,"flash,",45,5.6097371581551565
2154,day—and,1,9.416399647925477
2155,visits,248,3.9029709017604945
2156,"furniture,“as",1,9.416399647925477
2157,"cost,",39,5.752838001795831
2158,achieved.,15,6.7083494468232665
2159,"Otherwise,",22,6.325357194567161
2160,hammered,25,6.197523823057276
2161,iron,696,2.871049987591057
2162,work.,604,3.0128254499906615
2163,telephoned,33,5.919892086458996
2164,to.,523,3.156818183860554
2165,"debts,",72,5.139733528909422
2166,life,7492,1.187955764921443
2167,that!—the,1,9.416399647925477
2168,cheerfully,124,5.289265262880385
2169,Mark,306,3.692814545973096
2170,disagreeable,339,4.283546721104972
